champion,imgSrc
Sett,https://wiki.leagueoflegends.com/en-us/images/thumb/Sett_OriginalSquare.png/46px-Sett_OriginalSquare.png
Shaco,https://wiki.leagueoflegends.com/en-us/images/thumb/Shaco_OriginalSquare.png/46px-Shaco_OriginalSquare.png
Shen,https://wiki.leagueoflegends.com/en-us/images/thumb/Shen_OriginalSquare.png/46px-Shen_OriginalSquare.png
Shyvana,https://wiki.leagueoflegends.com/en-us/images/thumb/Shyvana_OriginalSquare.png/46px-Shyvana_OriginalSquare.png
Singed,https://wiki.leagueoflegends.com/en-us/images/thumb/Singed_OriginalSquare.png/46px-Singed_OriginalSquare.png
Sion,https://wiki.leagueoflegends.com/en-us/images/thumb/Sion_OriginalSquare.png/46px-Sion_OriginalSquare.png
Sivir,https://wiki.leagueoflegends.com/en-us/images/thumb/Sivir_OriginalSquare.png/46px-Sivir_OriginalSquare.png
Skarner,https://wiki.leagueoflegends.com/en-us/images/thumb/Skarner_OriginalSquare.png/46px-Skarner_OriginalSquare.png
Smolder,https://wiki.leagueoflegends.com/en-us/images/thumb/Smolder_OriginalSquare.png/46px-Smolder_OriginalSquare.png
Sona,https://wiki.leagueoflegends.com/en-us/images/thumb/Sona_OriginalSquare.png/46px-Sona_OriginalSquare.png
Soraka,https://wiki.leagueoflegends.com/en-us/images/thumb/Soraka_OriginalSquare.png/46px-Soraka_OriginalSquare.png
Swain,https://wiki.leagueoflegends.com/en-us/images/thumb/Swain_OriginalSquare.png/46px-Swain_OriginalSquare.png
Sylas,https://wiki.leagueoflegends.com/en-us/images/thumb/Sylas_OriginalSquare.png/46px-Sylas_OriginalSquare.png
Syndra,https://wiki.leagueoflegends.com/en-us/images/thumb/Syndra_OriginalSquare.png/46px-Syndra_OriginalSquare.png
Taliyah,https://wiki.leagueoflegends.com/en-us/images/thumb/Taliyah_OriginalSquare.png/46px-Taliyah_OriginalSquare.png
Talon,https://wiki.leagueoflegends.com/en-us/images/thumb/Talon_OriginalSquare.png/46px-Talon_OriginalSquare.png
Taric,https://wiki.leagueoflegends.com/en-us/images/thumb/Taric_OriginalSquare.png/46px-Taric_OriginalSquare.png
Teemo,https://wiki.leagueoflegends.com/en-us/images/thumb/Teemo_OriginalSquare.png/46px-Teemo_OriginalSquare.png
Thresh,https://wiki.leagueoflegends.com/en-us/images/thumb/Thresh_OriginalSquare.png/46px-Thresh_OriginalSquare.png
Tristana,https://wiki.leagueoflegends.com/en-us/images/thumb/Tristana_OriginalSquare.png/46px-Tristana_OriginalSquare.png
Trundle,https://wiki.leagueoflegends.com/en-us/images/thumb/Trundle_OriginalSquare.png/46px-Trundle_OriginalSquare.png
Tryndamere,https://wiki.leagueoflegends.com/en-us/images/thumb/Tryndamere_OriginalSquare.png/46px-Tryndamere_OriginalSquare.png
Twitch,https://wiki.leagueoflegends.com/en-us/images/thumb/Twitch_OriginalSquare.png/46px-Twitch_OriginalSquare.png
Udyr,https://wiki.leagueoflegends.com/en-us/images/thumb/Udyr_OriginalSquare.png/46px-Udyr_OriginalSquare.png
Urgot,https://wiki.leagueoflegends.com/en-us/images/thumb/Urgot_OriginalSquare.png/46px-Urgot_OriginalSquare.png
Varus,https://wiki.leagueoflegends.com/en-us/images/thumb/Varus_OriginalSquare.png/46px-Varus_OriginalSquare.png
Vayne,https://wiki.leagueoflegends.com/en-us/images/thumb/Vayne_OriginalSquare.png/46px-Vayne_OriginalSquare.png
Veigar,https://wiki.leagueoflegends.com/en-us/images/thumb/Veigar_OriginalSquare.png/46px-Veigar_OriginalSquare.png
Vex,https://wiki.leagueoflegends.com/en-us/images/thumb/Vex_OriginalSquare.png/46px-Vex_OriginalSquare.png
Vi,https://wiki.leagueoflegends.com/en-us/images/thumb/Vi_OriginalSquare.png/46px-Vi_OriginalSquare.png
Viego,https://wiki.leagueoflegends.com/en-us/images/thumb/Viego_OriginalSquare.png/46px-Viego_OriginalSquare.png
Viktor,https://wiki.leagueoflegends.com/en-us/images/thumb/Viktor_OriginalSquare.png/46px-Viktor_OriginalSquare.png
Vladimir,https://wiki.leagueoflegends.com/en-us/images/thumb/Vladimir_OriginalSquare.png/46px-Vladimir_OriginalSquare.png
Volibear,https://wiki.leagueoflegends.com/en-us/images/thumb/Volibear_OriginalSquare.png/46px-Volibear_OriginalSquare.png
Warwick,https://wiki.leagueoflegends.com/en-us/images/thumb/Warwick_OriginalSquare.png/46px-Warwick_OriginalSquare.png
Wukong,https://wiki.leagueoflegends.com/en-us/images/thumb/Wukong_OriginalSquare.png/46px-Wukong_OriginalSquare.png
Xayah,https://wiki.leagueoflegends.com/en-us/images/thumb/Xayah_OriginalSquare.png/46px-Xayah_OriginalSquare.png
Xerath,https://wiki.leagueoflegends.com/en-us/images/thumb/Xerath_OriginalSquare.png/46px-Xerath_OriginalSquare.png
Yasuo,https://wiki.leagueoflegends.com/en-us/images/thumb/Yasuo_OriginalSquare.png/46px-Yasuo_OriginalSquare.png
Yone,https://wiki.leagueoflegends.com/en-us/images/thumb/Yone_OriginalSquare.png/46px-Yone_OriginalSquare.png
Yorick,https://wiki.leagueoflegends.com/en-us/images/thumb/Yorick_OriginalSquare.png/46px-Yorick_OriginalSquare.png
Yunara,https://wiki.leagueoflegends.com/en-us/images/thumb/Yunara_OriginalSquare.png/46px-Yunara_OriginalSquare.png
Yuumi,https://wiki.leagueoflegends.com/en-us/images/thumb/Yuumi_OriginalSquare.png/46px-Yuumi_OriginalSquare.png
Zac,https://wiki.leagueoflegends.com/en-us/images/thumb/Zac_OriginalSquare.png/46px-Zac_OriginalSquare.png
Zed,https://wiki.leagueoflegends.com/en-us/images/thumb/Zed_OriginalSquare.png/46px-Zed_OriginalSquare.png
Zeri,https://wiki.leagueoflegends.com/en-us/images/thumb/Zeri_OriginalSquare.png/46px-Zeri_OriginalSquare.png
Ziggs,https://wiki.leagueoflegends.com/en-us/images/thumb/Ziggs_OriginalSquare.png/46px-Ziggs_OriginalSquare.png
Zilean,https://wiki.leagueoflegends.com/en-us/images/thumb/Zilean_OriginalSquare.png/46px-Zilean_OriginalSquare.png
Zoe,https://wiki.leagueoflegends.com/en-us/images/thumb/Zoe_OriginalSquare.png/46px-Zoe_OriginalSquare.png
Zyra,https://wiki.leagueoflegends.com/en-us/images/thumb/Zyra_OriginalSquare.png/46px-Zyra_OriginalSquare.png
